JobID|Partition|Submit|Start|Elapsed|NNodes|NCPUS|ReqTRES|State
44144611|norm|2025-01-02T13:00:36|None|00:00:00|1|0|billing=1,cpu=1,mem=2G,node=1|CANCELLED by 61710
44144917|norm|2025-01-02T13:03:20|2025-01-02T13:04:06|00:02:09|1|2|billing=1,cpu=1,mem=2G,node=1|COMPLETED
44144917.batch||2025-01-02T13:04:06|2025-01-02T13:04:06|00:02:09|1|2||COMPLETED
44144917.extern||2025-01-02T13:04:06|2025-01-02T13:04:06|00:02:09|1|2||COMPLETED
44145008|norm|2025-01-02T13:04:09|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145008.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145008.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145013|norm|2025-01-02T13:04:10|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145013.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145013.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145016|norm|2025-01-02T13:04:11|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145016.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145016.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145020|norm|2025-01-02T13:04:13|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145020.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145020.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145025|norm|2025-01-02T13:04:14|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145025.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145025.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145028|norm|2025-01-02T13:04:15|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145028.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145028.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145031|norm|2025-01-02T13:04:16|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145031.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145031.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145033|norm|2025-01-02T13:04:17|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145033.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145033.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145035|norm|2025-01-02T13:04:18|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145035.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145035.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145038|norm|2025-01-02T13:04:20|2025-01-02T13:05:02|00:00:03|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145038.batch||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||FAILED
44145038.extern||2025-01-02T13:05:02|2025-01-02T13:05:02|00:00:03|1|2||COMPLETED
44145041|norm|2025-01-02T13:04:21|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145041.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145041.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145043|norm|2025-01-02T13:04:22|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145043.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145043.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145045|norm|2025-01-02T13:04:23|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145045.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145045.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145048|norm|2025-01-02T13:04:24|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145048.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145048.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145050|norm|2025-01-02T13:04:25|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145050.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145050.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145051|norm|2025-01-02T13:04:27|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145051.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145051.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145053|norm|2025-01-02T13:04:28|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145053.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145053.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145057|norm|2025-01-02T13:04:29|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145057.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145057.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145061|norm|2025-01-02T13:04:30|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145061.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145061.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145064|norm|2025-01-02T13:04:31|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145064.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145064.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145067|norm|2025-01-02T13:04:32|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145067.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145067.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145070|norm|2025-01-02T13:04:34|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145070.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
44145070.extern||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||COMPLETED
44145073|norm|2025-01-02T13:04:35|2025-01-02T13:05:03|00:00:02|1|2|billing=17,cpu=1,mem=80G,node=1|FAILED
44145073.batch||2025-01-02T13:05:03|2025-01-02T13:05:03|00:00:02|1|2||FAILED
